'bi'kang'de 鼻康德
'jia'jian'xi'xin'san 加减洗心散
'da'ji'yi'gen'cha 大蓟薏根茶
'tiao'yuan'san 调元散
'diao'yuan'san 调元散
'tong'xing'lin'mao'jue 同形鳞毛蕨
'jiang'tang'tiao'fu'zhi'sou'pin 姜汤调服止嗽频
'jiang'tang'tiao'fu'zhi'sou'bin 姜汤调服止嗽频
'mu'xiang'da'an'wan 木香大安丸
'liu'suan'a'mi'ka'xing'lv'hua'na'zhu'she'ye 硫酸阿米卡星氯化钠注射液
'wu'gan'fei'er'wan 五疳肥儿丸
'fei'wei'zao're'zheng 肺胃燥热证
'zao'shi'jian'pi 燥湿健脾
'ru'pi'qing'jiao'nang 乳癖清胶囊
'e'bei'sha'tan'qing'lv'sai'qin'jiao'nang 厄贝沙坦氢氯噻嗪胶囊
'ye'qi'shu'ye 野漆树叶
'ye'qi'shu'xie 野漆树叶
'li'sheng'san 立胜散
'kai'xie 开泄
'kai'yi 开泄
'gan'yu'pi'xu 肝郁脾虚
'jie'ji'ning'sou'kou'fu'ye 解肌宁嗽口服液
'xie'ji'ning'sou'kou'fu'ye 解肌宁嗽口服液
'zhu'she'yong'yan'suan'rou'hong'mei'su 注射用盐酸柔红霉素
'zhang'ye'suan'teng'zi 长叶酸藤子
'ding'xiang'jian'pi'san 丁香建脾散
'li'ji'hou'zhong 里急后重
'zi'yu'zan'gen 紫玉簪根
'duan'shi'gao 煅石膏
'huo'xue'tui'huang'tang 活血退黄汤
'san'ren'jiu 三仁酒
'qing'you'tang 清幽汤
'qing'you'shang 清幽汤
'huang'jin'ju'gen 黄金菊根
'wu'xuan'tang 乌玄汤
'wu'xuan'shang 乌玄汤
'tou'bao'an'xia'jia'yang'xia'ding 头孢氨芐甲氧芐啶
'tou'bao'an'hu'jia'yang'xia'ding 头孢氨芐甲氧芐啶
'tou'bao'an'xia'jia'yang'hu'ding 头孢氨芐甲氧芐啶
'tou'bao'an'hu'jia'yang'hu'ding 头孢氨芐甲氧芐啶
'qian'jin'feng'qi'gao 千金封脐膏
'feng'cao'you 砜嘈尤
'shen'xiao'xiao'he'san 神效消核散
'shen'xiao'xiao'hu'san 神效消核散
'zhen'jing'hua'tan'tang 镇痉化痰汤
'zhen'jing'hua'tan'shang 镇痉化痰汤
'biao'xu'gan'mao'chong'ji 表虚感冒冲剂
'dui'jie'cai 对节菜
'ke'bo'san 蚵蚾散
'ke'pi'san 蚵蚾散
'die'da'huan'hun'wan 跌打还魂丸
'fu'fang'li'duo'ka'yin'ru'gao 复方利多卡因乳膏
'gan'cao'hei'dou'tang 甘草黑豆汤
'gan'cao'hei'dou'shang 甘草黑豆汤
'qi'wei'dan 起痿丹
'zhong'jing'pai'xiao'yao'wan 仲景牌逍遥丸
'yan'suan'ke'lin'mei'su'ru'gao 盐酸克林霉素乳膏
'bai'song'ta 白松塔
'tai'yi'wan'jin'dan 太一万金丹
'zhen'zhu'nang 珍珠囊
'du'ru'ying'xue'zheng 毒入营血证
'dai'ru'ying'xue'zheng 毒入营血证
'long'dan'xie'gan'tang'jia'jian 龙胆泻肝汤加减
'xiang'ru'san 香薷散
'le'mai'jiao'nang 乐脉胶囊
'yue'mai'jiao'nang 乐脉胶囊
'lao'mai'jiao'nang 乐脉胶囊
'le'mo'jiao'nang 乐脉胶囊
'yue'mo'jiao'nang 乐脉胶囊
'lao'mo'jiao'nang 乐脉胶囊
'zhu'du'zhi'fang 猪肚炙方
'da'ye'gou'teng'gen 大叶钩藤根
'ling'qi'yang'xin'jiao'nang 灵芪养心胶囊
'si'jing'wan 四精丸
'shen'kang'ning'ke'li 肾康宁颗粒
'zhi'gan'jia'jiao'nang 治感佳胶囊
'da'ye'shan'gui 大叶山桂
'xue'jiu'wan 学究丸
'xin'yang'kui'xu'zheng 心阳亏虚证
'shen'zhen'shi'san'jiu'xian'dai'zhong'yao'you'xian'gong'si 深圳市三九现代中药有限公司
'zhong'yi'wen'quan'yang'sheng 中医温泉养生
'yi'ji 酏剂
'tian'ma'duo'ming'dan 天马夺命丹
'mao'ji'bu'xue'jiu 毛鸡补血酒
'li'bai'ling'wu'ling'jiao'nang 利百苓五苓胶囊
'xi'jia'san 洗痂散
'xian'jia'san 洗痂散
'zi'yang'dan 紫阳丹
'yi'fang'jie'pian 异芳芥片
'yi'fang'gai'pian 异芳芥片
'duan'bing'wu'jia 短柄五加
'da'qing'yan 大青盐
'jia'yang'sha'lin'pian 甲氧沙林片
'luo'fu'mu 萝芙木
'shuang'wen'qian'kou'fu'fen'sai 双吻前口蝠鲼鳃
'shuang'wen'qian'kou'fu'fen'xi 双吻前口蝠鲼鳃
'yu'yu'liang 禹余粮
'zhu'ye'huang'qi'tang 竹叶黄耆汤
'zhu'ye'huang'qi'shang 竹叶黄耆汤
'wu'long'gao 五龙膏
'wei'an'ke'li 维胺颗粒
'tan'yin'ting'wei'zheng 痰饮停胃证
'hei'zha 黑蚱
'ai'jiao'tang 艾胶汤
'yi'jiao'tang 艾胶汤
'ai'jiao'shang 艾胶汤
'yi'jiao'shang 艾胶汤
'nei'bu'dang'gui'jian'zhong'tang 内补当归建中汤
'na'bu'dang'gui'jian'zhong'tang 内补当归建中汤
'nei'bu'dang'gui'jian'zhong'shang 内补当归建中汤
'na'bu'dang'gui'jian'zhong'shang 内补当归建中汤
'a'wei'xiao'liu'tang 阿魏消瘤汤
'a'wei'xiao'liu'shang 阿魏消瘤汤
'zhen'huang'an'gong'pian 珍黄安宫片
'gu'zi'hua'san 鼓子花散
'tian'mai'xiao'ke'pian 天麦消渴片
'mao'ci'guo'teng 毛刺果藤
'ya'tong'ding'teng'tang 牙痛定疼汤
'ya'tong'ding'teng'shang 牙痛定疼汤
'ju'hua'gan'cao'tang 菊花甘草汤
'shen'rong'san'bian'wan 参茸三鞭丸
'qin'lian'xiao'du'yin 芩莲消毒饮
'tui'yi'che'qian'san 退翳车前散
'an'fei'jie'geng'tang 安肺桔梗汤
'an'fei'ju'geng'tang 安肺桔梗汤
'an'fei'jie'geng'shang 安肺桔梗汤
'an'fei'ju'geng'shang 安肺桔梗汤
'dong'mei'zhi'ke'ke'li 东梅止咳颗粒
'ba'zhen'yi'mu'wan'da'mi'wan 八珍益母丸大蜜丸
'huo'xue'li'qi'san 活血理气散
'dong'feng'ju'gen 东风橘根
'tiao'zhong'shun'qi'wan 调中顺气丸
'diao'zhong'shun'qi'wan 调中顺气丸
'fu'fang'du'huo'yin'duo'mei'xin'jiao'nang 复方独活吲哚美辛胶囊
'dai'huang'gan'qi'tang 大黄干漆汤
'dai'huang'gan'qi'shang 大黄干漆汤
'xue'san'qi 血三七
'xie'san'qi 血三七
'feng'huo'shang'yan'zheng 风火上炎证
'qi'wei'jie'du'huo'xue'gao 七味解毒活血膏
'jiu'yao'quan'xiao'fang 久疟全消方
'run'chang'tong'mi'cha 润肠通秘茶
'run'chang'tong'bi'cha 润肠通秘茶
'xiang'qiong'san 香藭散
'zhu'zhi'san 猪脂散
'huang'qi'dai 黄芪甙
'qu'feng'jiu 祛风酒
'chu'feng'jing'kou'fu'ye 雏凤精口服液
'fu'fang'yi'mei'san 复方胰酶散
'long'dan'tan'suan'qing'na'pian 龙胆碳酸氢钠片
'mi'chuan'li'zhi'yin 秘传梨汁饮
'lin'ba'xi'bao 淋巴细胞
'ye'ju'di'ding'cha 野菊地丁茶
'chuan'bai'zhi 川白芷
'biao'shi'gan'mao'ke'li 表实感冒颗粒
'biao'shi'gan'mo'ke'li 表实感冒颗粒
'xiao'lu'san 消炉散
'cu'suan'po'ni'song'long'ruan'gao 醋酸泼尼松龙软膏
'chu'xuan'tang 除癣汤
'chu'xuan'shang 除癣汤
'qing'long'she'yao'pian 青龙蛇药片
'tu'lv 菟缕
'dou'jiao'chai 豆角柴
'zhai'ye'piao'dai'cao 窄叶飘带草
'zhai'xie'piao'dai'cao 窄叶飘带草
'shi'wei'san 石韦散
'dan'wei'san 石韦散
'ba'sheng'san 八生散
'hong'bi'qing 红鼻清
'gong'bi'qing 红鼻清
'san'zi'chang'pu'tang 三紫菖蒲汤
'san'zi'chang'pu'shang 三紫菖蒲汤
'li'fu'kang'xi'ji 利夫康洗剂
'tan'zhuo'zhong'zu'zheng 痰浊中阻证
'rong'zhu'wan 茸珠丸
'liang'jun'jia'su 亮菌甲素
'he'lao'kou'fu'ye 核酪口服液
'hu'lao'kou'fu'ye 核酪口服液
'nao'zhen'ning'chong'ji 脑震宁冲剂
'fang'mai'liu'qi'yin 方脉流气饮
'fang'mo'liu'qi'yin 方脉流气饮
'gu'yan'yao 箍眼药
'lao'suan'suo'jun'er'lian'huo'jun'jiao'nang 酪酸梭菌二联活菌胶囊
'xin'pi'bu'yi'ke'li 心脾补益颗粒
'jin'lian'wan 金莲丸
'qian'hui 铅灰
'da'lang'du 大狼毒
'da'lang'dai 大狼毒
'zi'cao'tang 紫草汤
'zi'cao'shang 紫草汤
'jin'qiao'mai'ye'qiao'mai'gen 金荞麦野荞麦根
'yan'suan'dan'zhuo'si'ting'di'yan'ye 盐酸氮卓斯汀滴眼液
'jing'gu'san 净固散
'cheng'gu'san 净固散
'fu'qiang'jing'shen'zang'qie'chu'shu 腹腔镜肾脏切除术
'shen'xi'san 神吸散
'tian'ling'gai'san 天灵盖散
'si'chuan'hong'hua 四川红花
'bu'qi'hua'tan'tang 补气化痰汤
'bu'qi'hua'tan'shang 补气化痰汤
'a'si'pi'lin'pao'teng'pian 阿司匹林泡腾片
'xi'ling'jie'du'wan 犀羚解毒丸
'fu'fang'ding'xiang'kai'wei'tie 复方丁香开胃贴
'chen'shi'quan'xie'ding'tong'san 陈氏全蝎定痛散
'tui'huang'tang 退黄汤
'kang'bing'du'zhu'she'ye 抗病毒注射液
'zhi'liu 脂瘤
'zi'jin'pi 紫金皮
'bie'tao'gan 瘪桃干
'miao'bai'cao'jian'zhou'yan'tie 苗百草肩周炎贴
'zhi'hong'wan 治红丸
'jing'qian'an'pian 经前安片
'que'du'san 却毒散
'que'dai'san 却毒散
'cang'long'tang 苍龙汤
'cang'long'shang 苍龙汤
'pian'zai'huang'pai'shao'lin'zheng'gu'jing 片仔癀牌少林正骨精
'dan'du'bing 丹毒病
'zhu'huang'ba'bao'san 珠黄八宝散
'yi'gan'zhuan'yin'wan 乙肝转阴丸
'xin'li'jian'shu'cai'jiao'wan 心力健蔬菜胶丸
'da'zhen'xin'wan 大镇心丸
'da'zhen'xin'dan 大镇心丹
'ku'gua'teng 苦瓜藤
'fang'feng'tong'sheng 防风通圣
'mi'nuo'di'er'pian 米诺地尔片
'zhu'she'yong'yan'suan'tou'bao'ti'an 注射用盐酸头孢替安
'hong'qi 红芪
'gong'qi 红芪
'zhi'zi'gao 栀子膏
'liu'hua 榴花
'ha'xi'ni 哈昔泥
'xiong'wu'san 芎乌散
'fa'mo'ti'ding'san 法莫替丁散
'jie'wen'dan 解瘟丹
'xie'wen'dan 解瘟丹
'yi'mu'cao'pian 益母草片
'huang'lian'jie'du'tang 黄连解毒汤
'huang'lian'jie'du'shang 黄连解毒汤
'lao'qi'wan 烙脐丸
'luo'qi'wan 烙脐丸
'shu'xin'tang'jiang 舒心糖浆
'qing'shang'mei'su'wan 清上梅苏丸
'jiu'huang'dan 救荒丹
'dan'shi'san 丹石散
'dan'dan'san 丹石散
'xu'yin'zong 许胤宗
'hu'yin'zong 许胤宗
'zan'tai'fa'lang 錾胎珐琅
'lu'sun'jiao'nang 芦笋胶囊
'tiao'ling 条苓
'xian'ke'hua'jiao 蚬壳花椒
'xian'qiao'hua'jiao 蚬壳花椒
'fa'zhi'qing'jin'dan 法制清金丹
'fu'fang'san'qin'lu'ding'pian 复方三嗪芦丁片
'an'tai'zhu'gao 安胎主膏
'jiu'bing'shang'yin'zheng 久病伤阴证
'qing'yang'tang 青阳汤
'qing'yang'shang 青阳汤
'gan'yu'tiao'jing'gao 肝郁调经膏
'bing'lang'bing 槟榔饼
'hai'men'dong 海门冬
'san'qi'guan'xin'ning'he'ji 三七冠心宁合剂
'xiao'cheng'qi'jia'mai'dong'yuan'shen'tang 小承气加麦冬元参汤
'xiao'cheng'qi'jia'mai'dong'yuan'shen'shang 小承气加麦冬元参汤
'la'mi'wan 蜡蜜丸
'zha'mi'wan 蜡蜜丸
'san'miao'san 三妙散
'xie'ru'qi'ying're'du'nei'xian'zheng 邪入气营热毒内陷证
'xu'ru'qi'ying're'du'nei'xian'zheng 邪入气营热毒内陷证
'ya'ru'qi'ying're'du'nei'xian'zheng 邪入气营热毒内陷证
'ye'ru'qi'ying're'du'nei'xian'zheng 邪入气营热毒内陷证
'yu'ru'qi'ying're'du'nei'xian'zheng 邪入气营热毒内陷证
'qing'da'mei'su'pu'lu'ka'yin'jiao'nang 庆大霉素普鲁卡因胶囊
'tian'ma'san 天麻散
'yi'gan'pian'fang 乙肝偏方
'qing'ti'huo'neng'yin'ye 清体活能饮液
'qing'ti'huo'nai'yin'ye 清体活能饮液
'du'shen'cha 独参茶
'ma'huang'jia'ge'gen'tang 麻黄加葛根汤
'shou'bei'yin 手背饮
'geng'yong'huang'qin'jia'jiang'zao 更用黄芩加姜枣
'hong'luo'qun 红罗裙
'du'sheng'san 独胜散
'qing'tan'si'wu'tang 清痰四物汤
'yao'zhi'gan'lan'yan 药制橄榄盐
'cang'zhu'fan'hun'xiang 苍术反魂香
'cang'shu'fan'hun'xiang 苍术反魂香
'zuo'ni'sha'an 唑尼沙胺
'xi'di'na'fei'pian 西地那非片
'hou'tou'jian'wei'ling'jiao'nang 猴头健胃灵胶囊
'mo'ji'wan 磨积丸
'zhu'she'yong'lin'mei'su'na 注射用磷霉素钠
'qi'jue 气厥
'wan'chuang'san 完疮散
'an'shen'zhen'xin'hu'po'wan 安神镇心琥珀丸
'san'ben'shuang'mi'chang'rong'pian 三苯双脒肠溶片
'dan'na'zuo 丹那唑
'dan'ne'zuo 丹那唑
'dan'nei'zuo 丹那唑
'zhu'mao'zhen 猪毛针
'fu'zi'zhui'feng'gao 附子追风膏
'gua'lou'qu'mai'wan 瓜蒌瞿麦丸
'gua'lou'ju'mai'wan 瓜蒌瞿麦丸
'jia'ju'guo'sui 假蒟果穗
'chen'xiang'da'fu'pi'san 沉香大腹皮散
'cheng'qing'san 澄清散
'deng'qing'san 澄清散
'qing're'qu'shi'chong'ji 清热祛湿冲剂
'yi'li'jin'dan 一粒金丹
'zi'cao'kuai'ban'tang 紫草快班汤
'zi'cao'kuai'ban'shang 紫草快班汤
'gu'shen'wan 固肾丸
'tui'hang'qi 退行期
'tui'xing'qi 退行期
'tui'hang'ji 退行期
'tui'xing'ji 退行期
'sun'shang'gao 损伤膏
'shu'zhi 鼠脂
'shi'shi'gao'yao 石氏膏药
'dan'shi'gao'yao 石氏膏药
'shi'zhi'gao'yao 石氏膏药
'dan'zhi'gao'yao 石氏膏药
'qiao'yan'jiang 乔延江
'huang'shi'fu'chao'ji'wan'neng'gu'tong'jing 黄师父超级万能骨痛精
'ling'ma'yin 苓麻饮
'da'bu'yin'wan'shui'mi'wan 大补阴丸水蜜丸
'cao'yuan'fen'shu 草原鼢鼠
'hei'ji'cao 黑及草
'er'ming'bing 耳鸣病
'xia'yin 下阴
'shang'han'fu'shang'han'jia'yi'lian'he'yi'miao 伤寒副伤寒甲乙联合疫苗
'zeng'sun'tong'sheng'san 增损通圣散
'shui'li'teng 水梨藤
'chu'sheng'xiao'fei'san 出声消肺散
'xi'huang'wan'hu'wan 西黄丸糊丸
'sheng'ji'ba'bao'san 生肌八宝散
'zao'xiu 蚤休
'pi'wei'ji'gao 脾胃积膏
'qi'dong'yang'xue'jiao'nang 芪冬养血胶囊
'shi'zhen 石针
'dan'zhen 石针
'le'xin'ke'shui 乐信咳水
'le'xin'hai'shui 乐信咳水
'yue'xin'ke'shui 乐信咳水
'lao'xin'ke'shui 乐信咳水
'le'shen'ke'shui 乐信咳水
'yue'xin'hai'shui 乐信咳水
'lao'xin'hai'shui 乐信咳水
'le'shen'hai'shui 乐信咳水
'yue'shen'ke'shui 乐信咳水
'lao'shen'ke'shui 乐信咳水
'yue'shen'hai'shui 乐信咳水
'lao'shen'hai'shui 乐信咳水
'xiang'qi'san 香脐散
'si'wei'shao'yao'san 四味芍药散
'xian'suan'gen 咸酸根
'pu'fu'mi'die'xiang 匍匐迷迭香
'bu'luo'wei'ma'pian 布洛伪麻片
'gou'ti 狗蹄
'zi'nan 紫楠
'qiu'shuang'san 秋霜散
'tu'qi'jing'gao'bing 突起睛高病
'tie'zhu'san 铁朱散
'tie'shu'san 铁朱散
'hu'huang'lian'yin 胡黄连饮
'san'sheng'mi 三升米
'huan'ji'wan 换肌丸
'ju'pi'zhu'san 橘皮煮散
'she'xiang'zheng'gu'shui 麝香正骨水
'ning'fei'wan 宁肺丸
'er'qiang'bing'cha'jian'pian 二羟丙茶碱片
'cang'zhu'guan'zhong'tang 苍术贯众汤
'cang'shu'guan'zhong'tang 苍术贯众汤
'cang'zhu'guan'zhong'shang 苍术贯众汤
'cang'shu'guan'zhong'shang 苍术贯众汤
'qing'pi'jiang'huo'tang 清脾降火汤
'qing'pi'jiang'huo'shang 清脾降火汤
'li'ji'qi'xiao'fang 痢疾奇效方
'shang'feng'bi'se 伤风鼻塞
'shang'feng'bi'sai 伤风鼻塞
'wei'yang 胃阳
'zeng'jia'gao'yao 曾家膏药
'ru'suan'jun'su'ke'li 乳酸菌素颗粒
'shi'gao'jian 石膏煎
'ba'zhen'gao 八珍糕
'qing'jiang'wan 清降丸
'qing'xiang'wan 清降丸
'jiu'wei'zhu'huang'san 九味竺黄散
'jiu'wei'du'huang'san 九味竺黄散
'lu'rong'da'bu'wan 鹿茸大补丸
'xin'jian'wei'pian 新健胃片
'zi'gan 紫绀
'gu'kang'jiao'nang 骨康胶囊
'xiao'er'hun'mi 小儿昏迷
'xun'jing'wan 循经丸
'suan'mo'ye 酸模叶
'suan'mu'ye 酸模叶
'suan'mo'xie 酸模叶
'suan'mu'xie 酸模叶
'chao'ting'li'zi 炒葶苈子
'shu'yu'qing'gan'yin 舒郁清肝饮
'jiang'tang'ning'pian 绛糖宁片
'zhu'ru'hua'ji 助乳化剂
'chu'ru'hua'ji 助乳化剂
'tian'san'qi 田三七
'mei'lu 梅露
'mei'lou 梅露
'yan'hou'xiao'zhong'tang 咽喉消肿汤
'yan'hou'xiao'zhong'shang 咽喉消肿汤
'jin'xing'jiu'fang 金星酒方
'shan'jian'lan 山菅兰
'tong'jing'zhi'tong'tang 通经止痛汤
'tong'jing'zhi'tong'shang 通经止痛汤
'lv'lei'ta'ding'ju'jue'pian 氯雷他定咀嚼片
'fu'fang'li'zhi'run'fei'cha 复方梨汁润肺茶
'huang'hua'mi'cai 黄花蜜菜
'si'chai'hu'yin 四柴胡饮
'xie'li'xia'zhong 泄利下重
'xie'li'xia'chong 泄利下重
'yi'li'xia'zhong 泄利下重
'yi'li'xia'chong 泄利下重
'qi'jie'yan'hou'zheng 气结咽喉证
'xie'gan'chai'hu'san 泻肝柴胡散
'da'she'xiang'dan 大麝香丹
'dai'she'xiang'dan 大麝香丹
'tai'she'xiang'dan 大麝香丹
'hu'jing'tang 虎睛汤
'hu'jing'shang 虎睛汤
'shi'xiang'rou 石香葇
'dan'xiang'rou 石香葇
'hua'tai 滑胎
'xie'lei'tong 胁肋痛
'xie'le'tong 胁肋痛
'jin'gu'lian'jiao'nang 金骨莲胶囊
'shao'zhen'wan 烧针丸
'sha'ji'shuang'ya 沙棘双亚
'yan'suan'xiu'ji'xin'pian 盐酸溴己新片
'shen'xian'huang'fan'wan 神仙黄矾丸
'gui'gan'long'mu'tang 桂甘龙牡汤
'gui'gan'long'mu'shang 桂甘龙牡汤
'run'chang'san 润肠散
'ha'tu'ma 哈土蟆
'ha'tu'mo 哈土蟆
'jian'wei 健胃
'dui'jin'yin'zi 对金饮子
'yan'suan'a'bi'duo'er'ke'li 盐酸阿比多尔颗粒
'peng'qi'ju'nei'zhi 蟛蜞菊内脂
'peng'qi'ju'na'zhi 蟛蜞菊内脂
'yu'shui'tang 禹水汤
'yu'shui'shang 禹水汤
'sheng'shu'di'huang'tang 生熟地黄汤
'sheng'shu'di'huang'shang 生熟地黄汤
'lian'shi 楝实
'zong'mao'san 棕毛散
'bang'bang'cao 棒棒草
'xiao'jiu'jie'ling 小九节铃
'song'jian 松尖
'da'suan'su'chang'jiao'nang 大蒜素肠胶囊
're'sheng'dong'feng'zheng 热盛动风证
're'cheng'dong'feng'zheng 热盛动风证
'pi'fu'ke'yong'yao 皮肤科用药
'yin'ju'qing'jie'pian 银菊清解片
'yin'ju'qing'xie'pian 银菊清解片
'run'yin'jian'gu'tang 润阴坚骨汤
'xing'su'er'chen'wan 杏苏二陈丸
'ye'guang'gao 夜光膏
'lv'lei'ta'ding'jiao'nang 氯雷他定胶囊
'fu'kang'ning'jiao'nang 妇康宁胶囊
'shuang'mian'ci 双面刺
'ou'mi 藕蔤
'ben'ba'bi'tuo'pian 苯巴比妥片
'ding'xiang'liu'qi'tang 丁香流气汤
'ding'xiang'liu'qi'shang 丁香流气汤
'dao'huan'san 倒换散
'jing'dan'bai'xin'chong'zu'ren'yi'dao'su'hun'he'zhu'she'ye 精蛋白锌重组人胰岛素混合注射液
'chuan'xiong'yin 川芎饮
'xiao'feng'hua'du'san 消风化毒散
'xiao'feng'hua'dai'san 消风化毒散
'liu'gan'li'pi'zou'xiao'qi 琉肝理脾奏效奇
'liu'gan'li'pi'zou'xiao'ji 琉肝理脾奏效奇
'xie'du'zhi'sheng'tang 泻毒至圣汤
'xie'dai'zhi'sheng'tang 泻毒至圣汤
'xie'du'zhi'sheng'shang 泻毒至圣汤
'xie'dai'zhi'sheng'shang 泻毒至圣汤
'zuo'qiang'bing'pai'qin'pian 左羟丙哌嗪片
'zhi'lian'zheng'qi'san 栀连正气散
'zhu'dan'huang'lian'wan 猪胆黄连丸
'zi'tong'cao 紫筒草
'wen'shen'zhi'ou'tang 温肾止呕汤
'wen'shen'zhi'ou'shang 温肾止呕汤
'xin'wen'ping'bu'tang 辛温平补汤
'xin'wen'ping'bu'shang 辛温平补汤
'wu'mian'xing'chu'shi'ding 五面星除湿酊
'shi'xian'jiu 十仙酒
'qu'dian'tang 祛癫汤
'qu'dian'shang 祛癫汤
'tan'xing'mei'pian 弹性酶片
'po'xue'yao 破血药
'wen'dan'pi 文旦皮
'kuan'pi'san 宽脾散
'yi'geng'mei 伊更美
'qin'pi'jie'gu'jiao'nang 秦皮接骨胶囊
'suan'hua'yong'tie'ao'he'ji 酸化用铁螯合剂
'gan'zao'gao 干枣膏
'xin'nao'kang'pian 心脑康片
'guo'tang'zhu'she'ye 果糖注射液
'huang'lian'zhi'fu'wan 黄连制附丸
'chan'fu'kang'ke'li 产复康颗粒
'fu'fang'ben'ba'bi'tuo'xiu'hua'na'pian 复方苯巴比妥溴化钠片
'cong'xie'tang 葱薤汤
'cong'xie'shang 葱薤汤
'yu'xuan'yao'jiu 愈癣药酒
'feng'huo'gong'mu'zheng 风火攻目证
'gui'zhi'fu'qin'wan 桂枝茯芩丸
'zhong'wu'tou'jian 中乌头碱
'xin'lv'ning'pian 心律宁片
'xiao'e'jiao'wan 小阿胶丸
'xiao'a'jiao'wan 小阿胶丸
'shang'gong'qing'hua'wan 上宫清化丸
'xiao'suan'she'ta'kang'zuo'ru'gao 硝酸舍他康唑乳膏
'zhen'ni'cheng'qi'tang 镇逆承气汤
'lu'sun'ke'li 芦笋颗粒
'wan'shi'niu'huang'qing'xin'wan 万氏牛黄清心丸
'mo'shi'niu'huang'qing'xin'wan 万氏牛黄清心丸
'wan'zhi'niu'huang'qing'xin'wan 万氏牛黄清心丸
'mo'zhi'niu'huang'qing'xin'wan 万氏牛黄清心丸
'nv'zhen'zi'tang'jiang 女贞子糖浆
'fen'qing'bie'zhuo 分清别浊
'xiao'er're'su'qing'ke'li 小儿热速清颗粒
'lei'wu'tong 类梧桐
'long'xu'cai 龙须菜
'bang'ke'cao'gen 蚌壳草根
'bi'xiao'yin'zi 必效饮子
'fu'fang'feng'shi'yao'jiu 复方风湿药酒
'hong'ma'sang 红马桑
'xiao'yan'qing'yan'cha 消炎清咽茶
'hui'shou'san 回首散
'tian'men'dong'san 天门冬散
'kang'pu'li'li'te'sha'yu'ruan'gu'jiao'nang 康普利利特鲨鱼软骨胶囊
'xuan'fu'tang 玄附汤
'xuan'fu'shang 玄附汤
'qin'lian'ge'gen'tang 芩连葛根汤
'she'dan'zi 舌淡紫
'mai'jing 脉经
'qu'gui'wu'ling'san 去桂五苓散
'ma'qian'san 马前散
'ba'dou'gan 巴豆苷
'duo'nian'sheng'cao'ben 多年生草本
'shu'feng'yin 疏风饮
'qu'mi'wan 曲米丸
'xue'ning'jiao'nang 血宁胶囊
'xie'ning'jiao'nang 血宁胶囊
'qiang'huo'fang'feng'tang 羌活防风汤
'qiang'huo'fang'feng'shang 羌活防风汤
'ma'lin'gen'san 马蔺根散
'xu'duan'gao 续断膏
'qian'jin'san'zi 千金散子
'bai'shan'ni 白鳝泥
'fu'fang'pu'gong'ying'zhu'she'ye 复方蒲公英注射液
'chuan'shu'pian 喘舒片
'zi'pi'yin 滋脾饮
'duo'sha'zuo'qin'pian 多沙唑嗪片
'ling'yang'jiao'yin 羚羊角饮
'fu'fang'sheng'mai'san'fang 复方生脉散方
'qian'zhong'jiu 千钟酒
'hei'ta'zi'gen 黑塔子根
'tiao'jing'jian'wei'wan 调经健胃丸
'sheng'hong'ji 胜红蓟
'sheng'gong'ji 胜红蓟
'zi'bei'san 紫贝散
'jiao'ren'wan 椒仁丸
'shen'shi'tong'chong'ji 肾石通冲剂
'yin'chen'jiang'jun'tang 茵陈将军汤
'yin'chen'jiang'jun'shang 茵陈将军汤
'gan'feng'nei'dong'yin'xu'feng'dong'zheng 肝风内动阴虚风动证
'gan'feng'na'dong'yin'xu'feng'dong'zheng 肝风内动阴虚风动证
'fu'fang'luo'bu'ma'pian 复方罗布麻片
'shun'qi'an'tai'san 顺气安胎散
'bo'si'san 波斯散
'zhen'tu'yao 镇吐药
'qiang'li'jian'shen'jiao'nang 强力健身胶囊
'yan'gan'kou'ke 咽干口渴
'hua'xi'pai'yu'lin'bing'pian 花溪牌鱼鳞病片
'xiao'chang'xu'han 小肠虚寒
'tong'luo'sheng'ru'tang'jiang 通络生乳糖浆
'ren 仁
'cu'suan'fu'qing'ke'di'song'ru'gao 醋酸氟氢可的松乳膏
'hong'qu'hong'se'su 红曲红色素
'yang'shi'guo'shu'pi 羊屎果树皮
'xiang'shi'guo'shu'pi 羊屎果树皮
'san'cha'er'jue 三叉耳蕨
'huai'nan'wang'zhen'zhong'wan 淮南王枕中丸
'jing'kong'shang'shen'zheng 惊恐伤神证
'hai'nan'qie 海南茄
'hai'nan'jia 海南茄
'xuan'yu'hua'du'tang 宣郁化毒汤
'xuan'yu'hua'dai'tang 宣郁化毒汤
'xuan'yu'hua'du'shang 宣郁化毒汤
'xuan'yu'hua'dai'shang 宣郁化毒汤
'mi'tuo'seng 密陀僧
'pi'li'zhen 霹雳砧
'bai'he'fu'ling'ruan'jiao'nang 百合茯苓软胶囊
'xia'tian'wu'pian 夏天无片
'xia'tian'mo'pian 夏天无片
'ma'lin'gen'tang 马蔺根汤
'ma'lin'gen'shang 马蔺根汤
'zhong'yao'jian'ding'ji'neng'zong'he'xun'lian 中药鉴定技能综合训练
'gai'ti'tang 盖体汤
'ge'ti'tang 盖体汤
'he'ti'tang 盖体汤
'gai'ben'tang 盖体汤
'gai'ti'shang 盖体汤
'ge'ben'tang 盖体汤
'he'ben'tang 盖体汤
'ge'ti'shang 盖体汤
'he'ti'shang 盖体汤
'gai'ben'shang 盖体汤
'ge'ben'shang 盖体汤
