'bi'kang'de 鼻康德
'shui'qi'ling'xin 水气凌心
'di'lv'lei'ta'ding'fen'san'pian 地氯雷他定分散片
'de'lv'lei'ta'ding'fen'san'pian 地氯雷他定分散片
'qing'du'gao 清毒膏
'tan'zhuo'ning'ju'zheng 痰浊凝聚证
'bai'jin'pi 白槿皮
'qing'gang'hua'zhen'zhu'san 青缸花珍珠散
'mei'xi'lai'zhong'yao'jian'fei'jiao'nang 美袭来中药减肥胶囊
'tian'xi'tang 天喜堂
'fu'fang'an'min'hu'zhang'jiao'nang 复方氨敏虎杖胶囊
'run'chang'jian 润肠煎
'deng'zhan'hua'su'pu'tao'tang'zhu'she'ye 灯盏花素葡萄糖注射液
'zhen'zhu'wei'an'wan 珍珠胃安丸
'jie'yao'jian 截疟煎
'luo'fu'zhong'chun'yu 裸腹重唇鱼
'luo'fu'chong'chun'yu 裸腹重唇鱼
'ning'sou'run'fei'wan 宁嗽润肺丸
'huang'qin'ma'huang'tang 黄芩麻黄汤
'dian'xian'fang 癫痫方
'dian'jian'fang 癫痫方
'kong'tong'tong'chong 空筒筒虫
'gao'che'qian'su 高车前素
'gan'mao'jie'du'ling'ke'li 感冒解毒灵颗粒
'wu'tui'san 五退散
'li'bi'ling'pian 痢必灵片
'long'hu'hua'du'dan 龙虎化毒丹
'long'hu'hua'dai'dan 龙虎化毒丹
'li'pi'yin'jian 理脾阴煎
'pao'dan'guo 炮弹果
'hu'tao'zhi'ma'sang'ye'wan 胡桃芝麻桑叶丸
'zhu'sha'dian 朱砂点
'fu'fang'wan'nian'qing'jiao'nang 复方万年青胶囊
'ban'xia'gan'jiang'san 半夏干姜散
'hai'ren'cao 海人草
'bao'xie 暴泻
'pu'xie 暴泻
'yang'he'tang 阳和汤
'yang'he'shang 阳和汤
'cu'gui'jia 醋龟甲
'mei'chong 眉冲
'suo'quan 缩醛
'yan'suan'xi'di'na'fei 盐酸西地那非
'bao'zhu 暴注
'pu'zhu 暴注
'diao'you'zhi'lie'ruan'gao 貂油治裂软膏
'huang'lian'jie'du'he'xi'jiao'di'huang'tang 黄连解毒合犀角地黄汤
'huang'lian'jie'du'ge'xi'jiao'di'huang'tang 黄连解毒合犀角地黄汤
'huang'lian'jie'du'he'xi'jiao'di'huang'shang 黄连解毒合犀角地黄汤
'huang'lian'jie'du'ge'xi'jiao'di'huang'shang 黄连解毒合犀角地黄汤
'zhen'hao 珍好
'lan'gen'san 蓝根散
'mu'tang 沐汤
'mu'shang 沐汤
'ye'huo 夜火
'gan'xue'bu'zu'zheng 肝血不足证
'gan'xie'bu'zu'zheng 肝血不足证
'lei'dao'shuan'se'zhi'ru 泪道栓塞植入
'lei'dao'shuan'sai'zhi'ru 泪道栓塞植入
'pu'xiao'ji'jiu'yin 朴消急救饮
'piao'xiao'ji'jiu'yin 朴消急救饮
'po'xiao'ji'jiu'yin 朴消急救饮
'shang'zhong'xia'tong'yong'tong'feng'wan 上中下通用痛风丸
'bu'shen'zhuang'yang'wan 补肾壮阳丸
'chu'shi'zhi'yang'ruan'gao 除湿止痒软膏
'han're'bing'ju 寒热并举
'shen'xian'zao 神仙枣
'du'huo'tang 独活汤
'du'huo'shang 独活汤
'zi'sheng'da'zao'wan 资生大造丸
'hai'fu'rong 海芙蓉
'ling'su'dan 灵宿丹
'ling'xiu'dan 灵宿丹
'da'tong'sheng'bai'hua'she'san 大通圣白花蛇散
'ji'chuan'yin 济川饮
'fu'yu 凫羽
'xin'xiang'zhi'tong'xi'ru'ji 辛香止痛吸入剂
'sheng'ai 生艾
'sheng'yi 生艾
'huang'qi'ling'pi'cha 黄芪灵脾茶
'han'shui'zai'zao'dan 寒水再造丹
'hei'dou 黑豆
'san'zi'zhi'yang'xun'xi'fang 三子止痒熏洗方
'qiu'zao'gan'mao'ke'li 秋燥感冒颗粒
'qing'yan'he'ji 清咽合剂
'duo'liu'hua'an 多硫化铵
'gui'chang'tang 归肠汤
'gui'chang'shang 归肠汤
'ling'gan'wu'wei'jia'jiang'xin'ban'xing'dai'huang'tang 苓甘五味加姜辛半杏大黄汤
'ling'gan'wu'wei'jia'jiang'xin'ban'xing'dai'huang'shang 苓甘五味加姜辛半杏大黄汤
'luo'xuan'mei'su'jiao'nang 螺旋霉素胶囊
'pa'ye'run'fei'zhi'ke'gao 杷叶润肺止咳膏
'pa'xie'run'fei'zhi'ke'gao 杷叶润肺止咳膏
'tong'qi'san'jian'wan 通气散坚丸
'jie'geng'zhi'fang 桔梗汁方
'ju'geng'zhi'fang 桔梗汁方
'ling'yang'yin 羚羊饮
'wen'fu 温服
'jian'gu'zhu'she'ye 健骨注射液
'cu'suan'fu'qing'song'bing'pian'ru'gao 醋酸氟轻松冰片乳膏
'ben'jia'suan'li'zha'qu'pu'tan'jiao'nang 苯甲酸利扎曲普坦胶囊
'ben'jia'suan'li'za'qu'pu'tan'jiao'nang 苯甲酸利扎曲普坦胶囊
'feng'han'gan'mao 风寒感冒
'cao'mu'hui 草木灰
'qi'zhi'shi'zu'zheng 气滞湿阻证
'jian'fei'ye 减肥叶
'jian'fei'xie 减肥叶
'jiang'lou'bing 江漏病
'huang'jue'gen 黄桷根
'wu'mu'pi'jiu 五木皮酒
'xiao'xuan'hua 小旋花
'lin'yun'hu'gu'tang 淋熨虎骨汤
'lin'yu'hu'gu'tang 淋熨虎骨汤
'lin'yun'hu'gu'shang 淋熨虎骨汤
'lin'yu'hu'gu'shang 淋熨虎骨汤
'xin'yi'bi'yan'wan 辛夷鼻炎丸
'bao'wei'po'tan'wan 保胃破痰丸
'wu'mei'chi'tang 乌梅豉汤
'wu'mei'chi'shang 乌梅豉汤
'pu'xia'bai'tong'hua'zhu'lun 朴夏白通滑竹伦
'piao'xia'bai'tong'hua'zhu'lun 朴夏白通滑竹伦
'po'xia'bai'tong'hua'zhu'lun 朴夏白通滑竹伦
'chuan'she'gan 川射干
'tan'shi'yong'fei'zheng 痰湿壅肺证
'yuan'ban'leng'shui'hua 圆瓣冷水花
'gui'shao'li'dao'tang 归芍利导汤
'gui'shao'li'dao'shang 归芍利导汤
'er'dong'er'di'jiu 二冬二地酒
'er'dong'er'de'jiu 二冬二地酒
'pa'zha 爬蚱
'lv'song'jia'mi 吕宋荚蒾
'niu'huang'yi'jin'pian 牛黄益金片
'yan'ling'gu'ben'dan 延陵固本丹
'mu'gua'shi 木瓜实
'gui'ling'san 桂苓散
'fu'yan'kang'wan 妇炎康丸
'an'fei'ka'pian 氨非咖片
'an'fei'ga'pian 氨非咖片
'ban'biao'ban'li 半表半里
'tun'yong 臀痈
'qi'xian 气陷
'shi'du 十度
'qing're'shen'shi'tang 清热渗湿汤
'qing're'shen'shi'shang 清热渗湿汤
'xue'xu'jin'kui'zheng 血虚津亏证
'yang'shi'yi'tie'ling 杨氏一贴灵
'gui'zhi'jian 桂枝尖
'shan'you'ma'gen 山油麻根
'shao'pi'san 烧脾散
'san'qi'shang'ke'pian 三七伤科片
'lou'feng'tang 漏风汤
'lou'feng'shang 漏风汤
'long'dan'ju'huai'cha 龙胆菊槐茶
'kang'luo'ning'jiao'nang 康络宁胶囊
'kang'lao'ning'jiao'nang 康络宁胶囊
'lian'shi'wan 莲实丸
'liu'shen'qu 六神曲
'zhuan'xiong'san 赚胸散
'zuan'xiong'san 赚胸散
'huai'jiu 槐酒
'feng'xin'cha 风心茶
'mao'cang'zhu 茅苍术
'mao'cang'shu 茅苍术
'liu'bei'li 六倍利
'bo'he'hou'pian 薄荷喉片
'ma'lai'suan'zuo'xuan'an'lv'di'ping'pian 马来酸左旋氨氯地平片
're'du'chuan'xin'zheng 热毒传心证
'he'rong'gao 和荣膏
'hu'rong'gao 和荣膏
'huo'rong'gao 和荣膏
'pu'tao'tang'suan'yi'nuo'sha'xing 葡萄糖酸依诺沙星
'wu'xian'jian 五痫煎
'zhu'she'yong'luo'bo 注射用洛铂
'lv'dou'gan'cao'cha 绿豆甘草茶
'fu'rong'hua 芙蓉花
'lan'qing'san 蓝青散
'er'wei'san'qi'gui'li'qin'jiao'nang 二维三七桂利嗪胶囊
'zhong'jian'gu'pai'jue 中间骨牌蕨
'lan'er'cao'shu 蓝耳草属
'lan'er'cao'zhu 蓝耳草属
'chao'yang'hua'qing 超氧化氢
'zhu'she'yong'liu'suan'juan'qu'mei'su 注射用硫酸卷曲霉素
'qi'bao'yin 七宝饮
